date,open,high,low,close,volume
2024-01-01,18000.0,18004.32,17992.23,17995.02,171059
2024-01-02,17995.02,18032.45,17982.88,17991.19,141979
2024-01-03,17991.19,17994.09,17977.96,17983.77,184906
2024-01-04,17983.77,18018.83,17965.31,18016.06,119560
2024-01-05,18016.06,18063.09,18015.02,18030.31,146810
2024-01-08,18030.31,18094.15,18022.51,18057.81,164710
2024-01-09,18057.81,18107.1,18048.4,18101.09,157446
2024-01-10,18101.09,18168.49,18086.88,18140.66,104564
2024-01-11,18140.66,18155.83,18004.63,18027.52,176280
2024-01-12,18027.52,18093.03,18006.34,18062.55,119933
2024-01-15,18062.55,18071.53,18059.69,18064.18,174559
2024-01-16,18064.18,18107.52,18047.93,18098.78,164354
2024-01-17,18098.78,18116.71,18065.03,18076.78,164979
2024-01-18,18076.78,18135.18,18051.6,18072.09,117033
2024-01-19,18072.09,18149.1,18059.44,18113.55,175074
2024-01-22,18113.55,18187.28,18077.98,18184.93,134037
2024-01-23,18184.93,18271.4,18184.1,18235.31,157597
2024-01-24,18235.31,18253.4,18214.36,18228.88,219642
2024-01-25,18228.88,18280.06,18214.84,18264.83,125052
2024-01-26,18264.83,18330.14,18263.07,18315.97,172479
2024-01-29,18315.97,18323.31,18245.91,18291.94,117525
2024-01-30,18291.94,18302.34,18245.3,18275.14,149445
2024-01-31,18275.14,18300.05,18248.02,18295.85,176800
2024-02-01,18295.85,18342.56,18273.26,18317.29,161431
2024-02-02,18317.29,18382.53,18268.46,18381.79,139233
2024-02-05,18381.79,18465.78,18368.88,18462.9,116146
2024-02-06,18462.9,18501.24,18442.49,18465.66,170666
2024-02-07,18465.66,18483.44,18354.51,18368.41,133502
2024-02-08,18368.41,18368.46,18306.79,18349.92,118346
2024-02-09,18349.92,18383.96,18329.32,18340.48,139072
2024-02-12,18340.48,18385.76,18334.98,18354.73,113711
2024-02-13,18354.73,18404.53,18297.65,18404.45,158425
2024-02-14,18404.45,18508.37,18401.39,18475.79,159694
2024-02-15,18475.79,18606.25,18451.03,18564.23,167740
2024-02-16,18564.23,18660.89,18562.93,18643.08,134350
2024-02-19,18643.08,18647.97,18591.92,18596.71,210608
2024-02-20,18596.71,18604.72,18539.72,18578.95,138136
2024-02-21,18578.95,18620.94,18542.74,18600.34,148675
2024-02-22,18600.34,18611.79,18546.68,18559.6,164749
2024-02-23,18559.6,18587.94,18535.31,18537.51,170994
2024-02-26,18537.51,18619.35,18530.34,18604.12,214583
2024-02-27,18604.12,18631.61,18601.32,18624.21,194483
2024-02-28,18624.21,18651.49,18594.32,18638.51,134614
2024-02-29,18638.51,18645.99,18563.84,18569.58,131759
2024-03-01,18569.58,18632.55,18544.71,18617.36,165546
2024-03-04,18617.36,18654.43,18605.57,18616.89,148643
2024-03-05,18616.89,18629.97,18579.29,18591.49,132673
2024-03-06,18591.49,18642.79,18573.68,18617.41,161426
2024-03-07,18617.41,18681.84,18570.85,18625.19,170858
2024-03-08,18625.19,18627.7,18571.27,18618.81,149742
2024-03-11,18618.81,18737.84,18610.04,18726.78,135274
2024-03-12,18726.78,18728.34,18695.49,18702.56,156074
2024-03-13,18702.56,18752.62,18610.23,18614.41,202287
2024-03-14,18614.41,18621.72,18496.25,18575.38,123908
2024-03-15,18575.38,18589.04,18502.27,18514.08,170800
2024-03-18,18514.08,18584.28,18474.03,18577.85,136949
2024-03-19,18577.85,18650.7,18528.93,18639.06,148948
2024-03-20,18639.06,18760.24,18625.02,18707.07,159279
2024-03-21,18707.07,18728.15,18654.88,18656.06,165095
2024-03-22,18656.06,18698.61,18627.26,18686.65,126666
2024-03-25,18686.65,18702.74,18580.97,18638.77,140001
2024-03-26,18638.77,18700.95,18636.99,18662.9,180038
2024-03-27,18662.9,18681.51,18631.67,18648.53,195820
2024-03-28,18648.53,18708.74,18565.27,18696.56,149029
2024-03-29,18696.56,18735.16,18691.01,18727.47,219485
2024-04-01,18727.47,18832.97,18717.48,18797.99,162850
2024-04-02,18797.99,18869.38,18741.6,18835.67,92808
2024-04-03,18835.67,18838.25,18826.0,18834.63,126909
2024-04-04,18834.63,18885.21,18773.22,18781.45,161101
2024-04-05,18781.45,18847.55,18776.68,18827.78,190477
2024-04-08,18827.78,18844.3,18810.04,18823.06,132455
2024-04-09,18823.06,18826.96,18720.53,18726.77,139132
2024-04-10,18726.77,18736.07,18652.69,18695.61,151147
2024-04-11,18695.61,18710.39,18671.77,18673.51,112057
2024-04-12,18673.51,18675.04,18622.31,18668.43,178304
2024-04-15,18668.43,18733.15,18651.68,18715.33,115818
2024-04-16,18715.33,18740.04,18696.17,18729.57,209981
2024-04-17,18729.57,18802.72,18715.75,18755.15,137777
2024-04-18,18755.15,18766.79,18745.36,18755.12,88825
2024-04-19,18755.12,18774.44,18670.25,18702.78,207094
2024-04-22,18702.78,18835.0,18683.55,18783.61,92511
2024-04-23,18783.61,18862.14,18755.08,18855.81,210297
2024-04-24,18855.81,18931.58,18848.47,18884.3,128065
2024-04-25,18884.3,18900.39,18849.96,18888.76,107301
2024-04-26,18888.76,18947.81,18868.09,18902.46,156319
2024-04-29,18902.46,18928.18,18886.26,18910.94,152911
2024-04-30,18910.94,18954.99,18848.06,18867.85,144986
2024-05-01,18867.85,18887.46,18807.81,18838.58,145605
2024-05-02,18838.58,18863.28,18823.17,18858.67,146520
2024-05-03,18858.67,18897.08,18837.93,18892.5,170171
2024-05-06,18892.5,18913.99,18863.26,18886.76,127777
2024-05-07,18886.76,18908.41,18840.88,18842.05,197103
2024-05-08,18842.05,18944.9,18803.35,18944.29,138556
2024-05-09,18944.29,18981.5,18934.42,18940.68,158608
2024-05-10,18940.68,18959.89,18900.94,18919.91,203600
2024-05-13,18919.91,18940.66,18903.44,18912.76,178630
2024-05-14,18912.76,18924.8,18863.93,18882.13,172473
2024-05-15,18882.13,18959.22,18853.81,18945.46,126214
2024-05-16,18945.46,18975.36,18907.58,18928.14,150062
2024-05-17,18928.14,18942.18,18859.47,18875.23,122283
2024-05-20,18875.23,18881.39,18793.94,18846.97,160822
2024-05-21,18846.97,18870.52,18821.05,18855.91,168343
2024-05-22,18855.91,18872.66,18812.58,18829.96,104517
2024-05-23,18829.96,18845.74,18814.81,18816.55,156333
2024-05-24,18816.55,18848.38,18810.85,18820.01,140550
2024-05-27,18820.01,18838.05,18754.36,18767.56,193524
2024-05-28,18767.56,18768.22,18734.75,18736.22,147371
2024-05-29,18736.22,18782.1,18715.6,18739.24,169596
2024-05-30,18739.24,18849.16,18731.27,18792.92,148915
2024-05-31,18792.92,18844.99,18749.64,18796.44,164573
2024-06-03,18796.44,18860.98,18683.08,18733.6,108546
2024-06-04,18733.6,18807.03,18727.91,18785.32,115094
2024-06-05,18785.32,18844.25,18752.38,18816.7,120206
2024-06-06,18816.7,18819.77,18785.82,18786.44,192740
2024-06-07,18786.44,18826.48,18772.43,18796.28,132816
2024-06-10,18796.28,18843.2,18793.3,18833.6,176088
2024-06-11,18833.6,18837.01,18810.26,18814.78,195845
2024-06-12,18814.78,18824.33,18788.63,18815.56,170581
2024-06-13,18815.56,18824.16,18747.05,18794.59,181295
2024-06-14,18794.59,18814.03,18713.91,18740.38,109965
2024-06-17,18740.38,18744.63,18715.42,18742.77,190287
2024-06-18,18742.77,18865.7,18706.54,18816.41,174246
2024-06-19,18816.41,18826.13,18760.96,18764.2,170755
2024-06-20,18764.2,18766.58,18741.38,18760.8,188770
2024-06-21,18760.8,18769.29,18732.56,18745.35,153189
2024-06-24,18745.35,18749.41,18719.48,18744.82,173892
2024-06-25,18744.82,18821.75,18726.52,18815.68,175142
2024-06-26,18815.68,18872.41,18810.37,18864.82,175920
2024-06-27,18864.82,18899.81,18864.23,18875.47,93347
2024-06-28,18875.47,18893.22,18844.57,18882.88,154538
2024-07-01,18882.88,18932.47,18857.3,18932.46,107658
2024-07-02,18932.46,18966.61,18880.9,18896.74,143771
2024-07-03,18896.74,18932.25,18870.64,18930.42,181805
2024-07-04,18930.42,18937.28,18896.15,18909.47,101360
2024-07-05,18909.47,18977.72,18909.31,18948.0,135204
2024-07-08,18948.0,19063.91,18943.56,19005.28,154298
2024-07-09,19005.28,19040.07,18963.54,18987.81,142165
2024-07-10,18987.81,19001.83,18975.01,18992.13,110754
2024-07-11,18992.13,19088.14,18972.18,19062.44,117169
2024-07-12,19062.44,19213.76,19057.74,19164.26,122873
2024-07-15,19164.26,19174.72,19110.58,19133.4,148973
2024-07-16,19133.4,19228.13,19083.26,19190.45,197001
2024-07-17,19190.45,19225.8,19135.68,19142.76,119065
2024-07-18,19142.76,19207.29,19133.05,19138.77,204085
2024-07-19,19138.77,19145.59,19059.03,19096.27,169147
2024-07-22,19096.27,19144.78,19088.56,19093.73,138834
2024-07-23,19093.73,19138.59,19060.25,19125.94,159058
2024-07-24,19125.94,19130.09,19115.95,19125.33,134690
2024-07-25,19125.33,19194.81,19097.64,19151.37,202122
2024-07-26,19151.37,19170.54,19086.62,19147.3,154650
2024-07-29,19147.3,19236.03,19105.29,19215.59,153624
2024-07-30,19215.59,19249.14,19154.04,19198.33,153068
2024-07-31,19198.33,19240.77,19190.69,19231.01,126044
2024-08-01,19231.01,19244.89,19166.61,19192.44,143901
2024-08-02,19192.44,19219.35,19186.63,19196.95,127190
2024-08-05,19196.95,19214.66,19192.5,19201.99,164164
2024-08-06,19201.99,19211.45,19125.65,19132.57,169234
2024-08-07,19132.57,19136.54,19035.08,19065.24,144641
2024-08-08,19065.24,19076.5,19059.04,19065.22,170239
2024-08-09,19065.22,19076.18,19045.66,19072.37,144886
2024-08-12,19072.37,19137.39,19068.16,19132.28,135254
2024-08-13,19132.28,19192.23,19109.52,19170.86,121890
2024-08-14,19170.86,19176.01,19122.78,19126.03,158926
2024-08-15,19126.03,19186.54,19114.96,19176.23,122705
2024-08-16,19176.23,19250.69,19162.81,19234.88,155636
2024-08-19,19234.88,19243.06,19188.57,19201.11,149424
2024-08-20,19201.11,19241.86,19196.59,19207.87,129242
2024-08-21,19207.87,19211.74,19113.48,19159.9,170957
2024-08-22,19159.9,19199.94,19135.05,19198.61,121638
2024-08-23,19198.61,19259.2,19187.26,19191.77,169932
2024-08-26,19191.77,19204.13,19172.73,19177.28,160519
2024-08-27,19177.28,19226.12,19160.04,19225.66,136162
2024-08-28,19225.66,19271.49,19217.66,19232.59,118424
2024-08-29,19232.59,19285.0,19183.52,19191.77,109160
2024-08-30,19191.77,19241.17,19106.25,19134.2,167052
2024-09-02,19134.2,19177.94,19068.27,19072.73,139764
2024-09-03,19072.73,19107.85,19072.52,19089.33,111067
2024-09-04,19089.33,19101.84,19065.97,19080.54,106876
2024-09-05,19080.54,19136.95,19070.31,19126.57,150478
2024-09-06,19126.57,19175.57,19118.23,19168.98,170464
2024-09-09,19168.98,19295.99,19152.16,19261.29,116331
2024-09-10,19261.29,19455.46,19252.0,19425.49,129003
2024-09-11,19425.49,19504.24,19389.81,19493.73,158027
2024-09-12,19493.73,19521.02,19463.23,19513.05,128248
2024-09-13,19513.05,19513.62,19474.81,19487.81,172056
2024-09-16,19487.81,19531.09,19420.7,19439.19,190466
2024-09-17,19439.19,19497.71,19394.96,19407.25,115067
2024-09-18,19407.25,19413.33,19333.87,19363.31,221237
2024-09-19,19363.31,19380.33,19275.58,19312.08,146723
2024-09-20,19312.08,19318.91,19251.35,19260.4,176272
2024-09-23,19260.4,19295.41,19254.83,19255.89,129799
2024-09-24,19255.89,19273.33,19114.59,19150.4,167605
2024-09-25,19150.4,19276.94,19136.07,19230.47,135978
2024-09-26,19230.47,19280.43,19220.0,19253.9,145720
2024-09-27,19253.9,19348.2,19241.76,19345.52,153597
2024-09-30,19345.52,19389.34,19339.31,19363.8,115009
2024-10-01,19363.8,19410.72,19324.84,19343.39,147223
2024-10-02,19343.39,19351.17,19267.17,19293.43,133149
2024-10-03,19293.43,19385.03,19286.18,19350.69,202282
2024-10-04,19350.69,19380.4,19206.01,19252.3,147297
2024-10-07,19252.3,19272.91,19157.62,19236.49,92465
